customer_id,first_name,last_name,segment,region_id,total_orders,total_revenue,avg_order_value,first_order_date,last_order_date
532,Theresa,Chaney,Regular,3,848,663457.64,782.38,2023-01-01,2025-06-30
848,Katherine,Murphy,Regular,1,169,141557.29,837.62,2023-01-01,2025-06-29
533,Mark,Robinson,Regular,1,167,125550.81,751.8,2023-01-05,2025-06-29
391,William,Jackson,Enterprise,1,91,66515.53,730.94,2023-01-05,2025-06-24
476,Gabriella,Russell,Regular,7,100,65379.17,653.79,2023-01-22,2025-06-23
519,Joshua,Miller,Budget,1,65,60981.37,938.17,2023-01-02,2025-06-12
662,Jennifer,David,Regular,2,68,56940.43,837.36,2023-01-03,2025-06-25
442,Sarah,Foster,Regular,1,61,53768.67,881.45,2023-01-27,2025-06-27
262,Jessica,Johnston,Enterprise,1,86,52796.18,613.91,2023-01-05,2025-06-21
582,Tammy,Castillo,Budget,9,58,51051.26,880.19,2023-01-10,2025-06-21
676,Summer,Barnett,Premium,1,60,47160.71,786.01,2023-02-01,2025-06-22
933,Megan,Norman,Regular,1,62,46887.14,756.24,2023-01-09,2025-06-27
447,Scott,Smith,Regular,5,70,46098.2,658.55,2023-01-07,2025-06-25
155,Kerri,Shannon,Regular,5,61,45372.73,743.82,2023-01-29,2025-06-16
306,Dawn,Campos,Budget,4,46,42261.94,918.74,2023-01-26,2025-05-03
479,Joshua,Patterson,Regular,3,41,40448.74,986.55,2023-02-11,2025-06-01
706,Jennifer,Simpson,Premium,1,63,33758.37,535.85,2023-01-16,2025-05-25
811,Mary,Peck,Budget,1,53,31623.35,596.67,2023-02-11,2025-06-21
500,Andrew,Simmons,Enterprise,1,50,30683.88,613.68,2023-01-09,2025-05-28
499,Kyle,Mendoza,Budget,4,44,30544.57,694.19,2023-02-02,2025-04-07
51,Ashley,Andrews,Regular,6,34,30248.68,889.67,2023-01-08,2025-06-29
718,Erin,Hammond,Regular,3,35,29258.51,835.96,2023-01-11,2025-05-16
70,Karen,Wolf,Budget,1,50,29252.74,585.05,2023-01-26,2025-04-10
797,Elizabeth,Miller,Regular,3,25,28970.89,1158.84,2023-01-14,2025-05-20
367,Thomas,Gutierrez,Budget,8,22,27719.04,1259.96,2023-01-04,2025-06-24
472,Denise,Miller,Regular,8,37,27168.23,734.28,2023-01-09,2025-06-06
800,Daniel,Cole,Regular,1,22,26499.24,1204.51,2023-03-09,2025-05-27
2,Colin,Abbott,Premium,5,19,26426.14,1390.85,2023-04-28,2025-04-29
12,Tricia,Baker,Regular,1,47,25831.48,549.61,2023-01-26,2025-06-03
243,Jessica,Stanley,Budget,1,20,25812.29,1290.61,2023-03-01,2025-06-23
523,Nathan,Tran,Budget,3,35,25228.97,720.83,2023-01-27,2025-04-09
513,Pamela,Schroeder,Budget,1,27,25204.78,933.51,2023-02-20,2025-04-21
489,Joshua,Obrien,Regular,4,24,25146.07,1047.75,2023-01-31,2025-05-13
248,Jackie,Vasquez,Regular,2,39,24985.8,640.66,2023-01-22,2025-06-29
716,Amy,Gallagher,Regular,3,20,24944.1,1247.21,2023-02-26,2025-06-04
412,James,Nicholson,Regular,1,28,24774.32,884.8,2023-05-05,2025-06-14
844,Sophia,Brooks,Regular,2,32,24602.04,768.81,2023-01-15,2025-06-14
721,Brenda,Huerta,Regular,1,20,24537.31,1226.87,2023-03-04,2025-06-10
465,Troy,Padilla,Budget,7,37,24172.61,653.31,2023-01-07,2025-04-26
250,Paul,Proctor,Premium,9,18,23996.85,1333.16,2023-01-10,2025-06-09
446,Lonnie,Buchanan,Regular,9,27,23442.99,868.26,2023-01-11,2025-03-26
679,Matthew,Stafford,Regular,5,28,23172.97,827.61,2023-01-13,2025-06-08
359,Jason,Flynn,Regular,6,25,22701.43,908.06,2023-01-26,2025-06-24
541,Brandon,Torres,Budget,1,31,22289.95,719.03,2023-01-06,2025-06-30
179,Joshua,Thomas,Premium,3,20,22282.6,1114.13,2023-02-27,2025-06-20
122,Alfred,Patel,Regular,2,20,22164.78,1108.24,2023-01-29,2025-05-18
141,Antonio,Walker,Budget,3,28,22032.61,786.88,2023-02-09,2025-06-13
34,John,Russell,Budget,1,22,21974.77,998.85,2023-01-20,2025-06-23
402,Debbie,Cline,Premium,3,28,21644.48,773.02,2023-01-08,2025-05-20
814,Andrew,Zavala,Enterprise,5,23,21142.93,919.26,2023-03-19,2025-05-19
140,Jacob,Wilkinson,Regular,6,42,21137.02,503.26,2023-01-05,2025-06-11
954,Mary,Rivera,Regular,1,22,21024.74,955.67,2023-03-16,2025-06-14
969,Matthew,Griffin,Budget,8,15,20890.46,1392.7,2023-01-31,2025-05-01
470,Heather,Davis,Regular,1,27,20730.59,767.8,2023-01-07,2025-05-09
227,Brianna,Figueroa,Premium,5,36,20604.83,572.36,2023-02-24,2025-06-23
105,Albert,Bradley,Regular,7,26,20563.8,790.92,2023-01-09,2025-06-10
323,Paul,Taylor,Enterprise,1,13,20331.37,1563.95,2023-03-18,2025-05-29
281,Evan,Mitchell,Regular,6,13,20134.27,1548.79,2023-03-12,2025-05-22
204,Tiffany,Moon,Budget,4,17,20130.59,1184.15,2023-02-25,2025-03-15
999,Kevin,Griffin,Budget,8,25,20019.61,800.78,2023-01-07,2025-04-30
507,Scott,Newman,Regular,2,25,19910.49,796.42,2023-03-12,2025-06-14
365,Amanda,Lyons,Regular,6,32,19658.6,614.33,2023-01-06,2025-06-26
918,Stephanie,Hernandez,Budget,1,33,19556.14,592.61,2023-02-09,2025-05-27
246,Amanda,Watts,Budget,1,28,19552.92,698.32,2023-02-04,2025-03-19
685,Whitney,Morrison,Regular,5,25,19210.64,768.43,2023-03-20,2025-05-07
257,Laura,Brown,Premium,1,22,18902.01,859.18,2023-02-25,2025-06-07
949,Benjamin,Davis,Premium,4,15,18827.51,1255.17,2023-01-17,2025-05-24
113,Tiffany,Ford,Regular,8,19,18786.77,988.78,2023-02-11,2025-04-06
413,David,Mahoney,Budget,4,28,18692.11,667.58,2023-02-14,2025-05-25
595,Andrea,Romero,Regular,2,24,18532.88,772.2,2023-01-01,2025-03-29
242,Crystal,Duncan,Regular,1,25,18511.86,740.47,2023-02-08,2025-04-13
278,Andrea,Williams,Budget,4,9,18016.85,2001.87,2023-04-04,2025-05-10
56,Martha,Gilbert,Premium,3,25,17849.68,713.99,2023-04-28,2025-05-09
135,Timothy,Phillips,Budget,5,23,17779.99,773.04,2023-02-08,2025-03-10
907,Donald,Olson,Enterprise,1,12,17422.95,1451.91,2023-02-17,2025-06-30
772,Dustin,Obrien,Enterprise,9,19,17204.95,905.52,2023-04-11,2025-03-16
536,John,Lewis,Budget,5,26,17074.91,656.73,2023-02-18,2025-06-22
81,Aaron,Gomez,Premium,6,23,16695.1,725.87,2023-01-26,2025-04-28
35,Ronald,Reese,Budget,3,27,16418.97,608.11,2023-01-16,2025-04-24
578,Mary,Nelson,Premium,7,26,16181.74,622.37,2023-03-17,2025-06-11
151,Paul,Combs,Budget,3,18,16014.29,889.68,2023-01-12,2025-06-15
127,Tracy,Kelly,Premium,1,12,16010.6,1334.22,2023-01-17,2025-04-27
314,Nicole,Kim,Budget,8,29,15961.59,550.4,2023-02-03,2025-05-03
368,Krystal,Taylor,Regular,10,20,15818.59,790.93,2023-05-19,2025-05-21
790,Yolanda,Hernandez,Regular,3,26,15728.07,604.93,2023-01-16,2025-02-24
241,David,Dillon,Premium,7,26,15721.37,604.67,2023-03-22,2025-06-21
514,Shawn,Jackson,Budget,6,18,15706.38,872.58,2023-02-17,2025-06-26
906,Jeremy,Chavez,Premium,1,11,15538.77,1412.62,2023-01-03,2025-06-13
655,Amanda,Harrington,Regular,6,11,15160.08,1378.19,2023-01-04,2025-06-12
720,Frank,Wilson,Premium,2,15,14956.44,997.1,2023-02-14,2025-06-02
898,Jean,Roth,Budget,1,16,14873.96,929.62,2023-01-24,2024-12-12
808,Jessica,Ward,Regular,1,20,14846.51,742.33,2023-05-29,2025-06-23
616,Stephanie,Dougherty,Premium,1,23,14794.82,643.25,2023-02-11,2025-03-28
784,Steven,Gibson,Premium,7,7,14731.54,2104.51,2023-03-17,2025-03-17
89,Joel,Snyder,Enterprise,10,17,14638.65,861.1,2023-01-29,2025-03-14
68,Keith,Sullivan,Budget,6,12,14510.11,1209.18,2023-01-10,2025-06-24
199,William,Harrison,Regular,1,22,14440.87,656.4,2023-07-20,2025-06-25
192,Michael,Santos,Premium,2,17,14347.32,843.96,2023-01-21,2024-12-19
268,Steven,Landry,Regular,3,17,14111.98,830.12,2023-01-27,2025-02-18
325,Joshua,Blair,Budget,2,34,14093.64,414.52,2023-01-08,2025-06-02
